,弹幕内容
590,红红红红啦
591,啊啊啊啊啊啊啊啊啊啊啊啊啊啊
592,四月三号
593,我来了哈哈哈哈哈
594,云飞兄
595,为了部落
596,火之高兴爆了
597,补课补课
598,排面
599,排面
600,小破站有矿了
601,骑兵连，进攻！！！！！
602,我是麻瓜
603,4.3
604,庞各庄一中报道
605,此生无悔入华夏
606,红红红
607,4.3
608,4.3补课
609,我检讨，我在补课
610,你指尖流动的电光，是我此生不变的信仰，唯我超电磁炮永世长存
611,我是娜扎
612,M78 星云报道
613,泪目了卧槽
614,我的童年啊
615,逮虾户
616,快把老子的五菱宏光开来
617,新几次哇，以资莫，嘿豆次！！！
618,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
619,！
620,真相永远只有一个
621,喜欢喜欢
622,变红
623,自动变红
624,小破站nb
625,吸吸吸
626,红红红
627,云飞兄
628,起立！！！
629,全体起立！！！
630,开炮！！！！
631,啊啊啊啊啊啊啊啊啊
632,超炮信仰
633,云飞兄别来无恙
634,小破战牛逼！！！
635,awsl
636,瞪我瞪我aaa
637,逮虾户
638,我被瞪了妈妈
639,啊啊啊啊啊啊
640,欢迎来到祖安
641,awsl
642,欢迎来到祖安
643,啊啊啊啊啊啊
644,为了巫妖王！
645,爱国变红
646,中国红
647,哇
648,武汉加油!
649,云飞兄
650,中国军魂
651,艾欧尼亚报到
652,破案了
653,史莱克学院前来报到
654,断剑重铸之日，骑士归来之时
655,小狗!
656,我们是冠军
657,我国威武
658,补课补课
659,ig，永远滴神
660,恕瑞玛你们的皇帝回来了
661,ignb
662,注意:全体起立
663,中国人要自信
664,注意:全体起立2020/04/03
665,我是莲蓉
666,为了部落
667,排面
668,此生无悔入华夏！
669,红红火火红中国
670,云飞兄别来无恙
671,都给我哭
672,云飞兄借点武器用用
673,为了联盟
674,哈啊
675,气突华
676,4.3在此
677,来了来了
678,裤子裤子裤子
679,大祥哥
680,让我们一起回家
681,吸吸吸
682,全体起立
683,他来了
684,吸吸吸吸吸吸吸
685,清明节快乐
686,4.3补课
687,.真没给啊她自己有话筒
688,害，我把所有数字都给屏蔽了
689,我就应该把报道也给屏蔽了
690,0.5倍速的我笑了
691,红了红了
692,回忆啊
693,那个自己进化的，牛掰，我看你能变出个啥
694,战争学院报道
695,就她自己哎……场控很好
696,吸吸吸吸吸吸，然后，世界各地，加油
697,4月4凌晨一点复习
698,现场很好，其他电视台全翻车的！
699,0.5倍速吸！
700,我要去应援！
701,哇，激动的说不出话
702,来复习
703,为了艾泽拉斯!!!!!!!!!!
704,weile
705,为了艾泽拉斯！！！！！！！
706,0.5
707,熊猫人永不为奴！
708,卡塞尔学院报道
709,哭了 童年
710,0.75哈哈
711,这个萨克斯的旋律100年都不会忘
712,逮虾户来了 ！
713,听哭了卧槽
714,亮剑
715,我们是冠军！！！
716,啊啊啊啊啊啊啊
717,全体起立
718,啊啊啊啊啊啊啊啊啊啊啊啊
719,青鸟呢
720,我们是冠军！！！
721,无畏先锋
722,犯我德邦者，虽远必诛
723,这个故事还没有完结
724,全体起立
725,我们是冠军
726,4.4补课
727,武汉加油
728,吸吸吸吸
729,啊啊啊啊啊啊
730,红起来
731,班德尔城报到
732,落魄山来凑个热闹
733,麻麻他瞪我！！！！
734,云飞兄，别来无恙啊
735,云飞兄，别来无恙
736,霜之哀伤弯了
737,4.4号报道
738,4.4报道
739,艾欧尼亚，昂扬不灭
740,此生不悔入华夏
741,我检讨，那天晋级赛
742,1.5舒服！！
743,祖安人前来报到
744,#0.5倍速
745,4月4，大型补课现场
746,补课
747,3刷
748,小破站nb
749,兽人永不为奴，除非包吃包住
750,三刷
751,武汉加油
752,全体起立！！！！
753,带吓唬
